AppNexus ID;Lotame ID;Audience Name
1460811;16156;Offline Brand Purchasers - Raid
1460812;15861;Offline Brand Purchasers - Reddi-Wip
1460813;13463;Offline Brand Purchasers - Rold Gold
1460814;15862;Offline Brand Purchasers - Rosarita
1460887;13461;Offline Brand Purchasers - Ruffles
1460892;16100;Offline Brand Purchasers - Safeguard
1460895;15277;Offline Brand Purchasers - Sara Lee
1460898;16121;Offline Brand Purchasers - Scope
1460900;15910;Offline Brand Purchasers - Scott
1460903;16157;Offline Brand Purchasers - Scrubbing Bubbles
1460904;16123;Offline Brand Purchasers - Secret
1460905;15868;Offline Brand Purchasers - Sensodyne
1460906;16158;Offline Brand Purchasers - Shout
1460908;13472;Offline Brand Purchasers - Sierra Mist
1460909;15844;Offline Brand Purchasers - Skin Bracer Asl
1460910;16313;Offline Brand Purchasers - Skippy
1460912;15863;Offline Brand Purchasers - Slim Jim
1438647;13494;Offline Brand Purchasers - Slim-Fast
1438651;13477;Offline Brand Purchasers - Snapple
1460913;46769;Offline Brand Purchasers - Snyder's of Hanover
1438691;16137;Offline Brand Purchasers- Sobe Life Water
1438670;15845;Offline Brand Purchasers - Softsoap
1438675;13449;Offline Brand Purchasers - Sprite
1438681;13468;Offline Brand Purchasers - Stouffer's
1461062;16314;Offline Brand Purchasers - Suave
1461064;15846;Offline Brand Purchasers - Suavitel
1461065;13458;Offline Brand Purchasers - Sunshine Cheez-It
1461070;16315;Offline Brand Purchasers - Sunsilk
1461072;13455;Offline Brand Purchasers - Swanson
1434624;16126;Offline Brand Purchasers - Swiffer
1461073;15864;Offline Brand Purchasers - Swiss Miss
1461074;16128;Offline Brand Purchasers - Tampax
1461075;16129;Offline Brand Purchasers - Tide
1461077;15847;Offline Brand Purchasers - Tom's Of Maine
1461078;13445;Offline Brand Purchasers - Tostitos
1461489;16140;Offline Brand Purchasers - Tropicana
1461490;15869;Offline Brand Purchasers - Tums
1461677;13475;Offline Brand Purchasers - Tyson
1461678;15912;Offline Brand Purchasers - Uncle Ben's
1461679;15819;Offline Brand Purchasers - V8
1461680;15865;Offline Brand Purchasers - Van Camp's
1461682;16316;Offline Brand Purchasers - Vaseline
