Category;Category name;AppNexus;AppNexus Category
IAB17-23;Olympics;Olympics (Sports);8556
IAB17-24;Paintball;Precision Sports (Sports);8560
IAB17-25;Power & Motorcycles;Motor Sports (Sports);8552
IAB17-26;Pro Basketball;Basketball (Sports);8526
IAB17-27;Pro Ice Hockey;Hockey (Sports);8548
IAB17-28;Rodeo;Extreme Sports (Sports);8542
IAB17-29;Rugby;Sports;29
IAB17-30;Running/Jogging;Fitness (Beauty & Personal Care);8066
IAB17-31;Sailing;Water Sports (Sports);8570
IAB17-32;Saltwater Fishing;Water Sports (Sports);8570
IAB17-33;Scuba Diving;Water Sports (Sports);8570
IAB17-34;Skateboarding;Extreme Sports (Sports);8542
IAB17-35;Skiing;Winter Sports (Sports);8574
IAB17-36;Snowboarding;Winter Sports (Sports);8574
IAB17-37;Surfing/Bodyboarding;Water Sports (Sports);8570
IAB17-38;Swimming;Water Sports (Sports);8570
IAB17-39;Table Tennis/Ping-Pong;Table Sports (Sports);8568
IAB17-40;Tennis;Racquet Sports (Sports);8562
IAB17-41;Volleyball;Sports;29
IAB17-42;Walking;Fitness (Beauty & Personal Care);8066
IAB17-43;Waterski/Wakeboard;Water Sports (Sports);8570
IAB17-44;World Soccer;Soccer (Sports);8564
IAB18;Style & Fashion;Fashion & Style (Beauty & Personal Care);8064
IAB18-1;Beauty;Beauty & Personal Care;7
IAB18-2;Body Art;Body Art & Tattoos (Beauty & Personal Care);8056
IAB18-3;Fashion;Fashion & Style (Beauty & Personal Care);8064
IAB18-4;Jewelry;Fashion & Style (Beauty & Personal Care);8064
IAB18-5;Clothing;Fashion & Style (Beauty & Personal Care);8064
IAB18-6;Accessories;Fashion & Style (Beauty & Personal Care);8064
;;Internet & Telecom;17
IAB19;Technology & Computing;Computers & Electronics;9
IAB19-1;3-D Graphics;Hardware (Computers & Electronics);8148
IAB19-2;Animation;Web Design (Internet & Telecom);8314
IAB19-3;Antivirus Software;Computer Security (Computers & Electronics);8138
IAB19-4;C/C++;Programming (Computers & Electronics);8152
IAB19-5;Cameras & Camcorders;Cameras and Camcorders (Computers & Electronics);8132
IAB19-6;Cell Phones;Cell Phones, PDAs (Computers & Electronics);8136
IAB19-7;Computer Certification;Programming (Computers & Electronics);8152
IAB19-8;Computer Networking;Networking (Computers & Electronics);8150
IAB19-9;Computer Peripherals;Consumer Electronics (Computers & Electronics);30
IAB19-10;Computer Reviews;Computers & Electronics;9
IAB19-11;Data Centers;Enterprise Technology (Computers & Electronics);8142
IAB19-12;Databases;Software (Computers & Electronics);8154
IAB19-13;Desktop Publishing;Software (Computers & Electronics);8154
IAB19-14;Desktop Video;Software (Computers & Electronics);8154
IAB19-15;Email;Email & Messaging (Internet & Telecom);8298
IAB19-16;Graphics Software;Web Design (Internet & Telecom);8314
IAB19-17;Home Video/DVD;Home Theater, TV (Computers & Electronics);8146
IAB19-18;Internet Technology;Service Providers (Internet & Telecom);8304
IAB19-19;Java;Programming (Computers & Electronics);8152
IAB19-20;JavaScript;Programming (Computers & Electronics);8152
IAB19-21;Mac Support;Web Portals (Internet & Telecom);8312
IAB19-22;MP3/MIDI;Audio Players and Systems (Computers & Electronics);8134
IAB19-23;Net Conferencing;Teleconferencing (Internet & Telecom);8306
IAB19-24;Net for Beginners;Computers & Electronics;9
IAB19-25;Network Security;Computer Security (Computers & Electronics);8138
IAB19-26;Palmtops/PDAs;Cell Phones, PDAs (Computers & Electronics);8136
IAB19-27;PC Support;Web Portals (Internet & Telecom);8312
IAB19-28;Portable;Mobile & Wireless (Internet & Telecom);8300
IAB19-29;Entertainment;Arts & Entertainment;10
IAB19-30;Shareware/Freeware;Web Apps & Online Tools (Internet & Telecom);8310
IAB19-31;Unix;Software (Computers & Electronics);8154
IAB19-32;Visual Basic;Software (Computers & Electronics);8154
IAB19-33;Web Clip Art;Software (Computers & Electronics);8154
IAB19-34;Web Design/HTML;Web Design (Internet & Telecom);8314
IAB19-35;Web Search;Search Engines (Internet & Telecom);8302
IAB19-36;Windows;Software (Computers & Electronics);8154
IAB20;Travel;Travel;31
IAB20-1;Adventure Travel;Tourist Destinations (Travel);8596
IAB20-2;Africa;Tourist Destinations (Travel);8596
IAB20-3;Air Travel;Air Travel (Travel);8578
IAB20-4;Australia & New Zealand;Tourist Destinations (Travel);8596
IAB20-5;Bed & Breakfasts;Hotels & Accommodations (Travel);8588
IAB20-6;Budget Travel;Hotels & Accommodations (Travel);8588
IAB20-7;Business Travel;Travel;31
IAB20-8;By US Locale;Travel;31
IAB20-9;Camping;Hotels & Accommodations (Travel);8588
IAB20-10;Canada;Tourist Destinations (Travel);8596
IAB20-11;Caribbean;Tourist Destinations (Travel);8596
IAB20-12;Cruises;Cruises & Charters (Travel);8586
IAB20-13;Eastern Europe;Tourist Destinations (Travel);8596
IAB20-14;Europe;Tourist Destinations (Travel);8596
IAB20-15;France;Tourist Destinations (Travel);8596
IAB20-16;Greece;Tourist Destinations (Travel);8596
IAB20-17;Honeymoons/Getaways;Tourist Destinations (Travel);8596
IAB20-18;Hotels;Hotels & Accommodations (Travel);8588
IAB20-19;Italy;Tourist Destinations (Travel);8596
IAB20-20;Japan;Tourist Destinations (Travel);8596
IAB20-21;Mexico & Central America;Tourist Destinations (Travel);8596
IAB20-22;National Parks;Tourist Destinations (Travel);8596
IAB20-23;South America;Tourist Destinations (Travel);8596
IAB20-24;Spas;Hotels & Accommodations (Travel);8588
IAB20-25;Theme Parks;Amusement and Theme Parks (Travel);8580
IAB20-26;Traveling with Kids;Amusement and Theme Parks (Travel);8580
IAB20-27;United Kingdom;Tourist Destinations (Travel);8596
IAB21;Real Estate;Real Estate;23
IAB21-1;Apartments;Apartments & Residential Rentals (Real Estate);8416
IAB21-2;Architects;Property Development (Real Estate);8420
IAB21-3;Buying/Selling Homes;Real Estate Listings (Real Estate);8428
IAB22;Shopping;Shopping;27
IAB22-1;Contests & Freebies;Coupons & Discount Offers (Shopping);8482
IAB22-2;Couponing;Coupons & Discount Offers (Shopping);8482
IAB22-3;Comparison;Shopping Portals & Search Engines (Shopping);8496
IAB22-4;Engines;Shopping Portals & Search Engines (Shopping);8496
IAB23;Religion & Spirituality IAB23-1 Alternative Religions;Religion & Belief (Lifestyles);8398
